date,open,high,low,close,adj_close,volume
28-09-2020,73.71050262,73.83999634,72.46504974,73.22599792,72.79330444,40158000
29-09-2020,73.51950073,73.83315277,72.94024658,73.46649933,73.03237915,19564000
30-09-2020,73.33999634,74.48750305,72.9940033,73.48000336,73.04580688,34032000
01-10-2020,74.21350098,74.95200348,73.96050262,74.50450134,74.06425476,35590000
02-10-2020,73.10150146,74.16000366,72.54599762,72.92099762,72.49010468,25682000
05-10-2020,73.3105011,74.41049957,73.21350098,74.3010025,73.86195374,22266000
06-10-2020,73.77899933,74.33799744,72.42949677,72.67199707,72.2425766,24908000
07-10-2020,73.21450043,73.44799805,71.80000305,73.01450348,72.58305359,34924000
08-10-2020,73.25450134,74.5,73.25450134,74.29650116,73.85748291,23756000
09-10-2020,74.73500061,75.8259964,74.47250366,75.76100159,75.31332397,28706000
12-10-2020,77.15000153,79.69300079,76.62850189,78.45749664,77.99388123,49652000
13-10-2020,79.18650055,79.5,78.16000366,78.58399963,78.11964417,32020000
14-10-2020,78.92949677,79.38420105,77.52649689,78.40399933,77.94069672,38586000
15-10-2020,77.35749817,78.75524902,77.25150299,77.95649719,77.49584961,30800000
16-10-2020,78.29250336,79.0565033,78.15000153,78.65049744,78.1857605,28694000
19-10-2020,79.02300262,79.40750122,76.40000153,76.73049927,76.27709961,32142000
20-10-2020,76.35250092,78.875,76.28350067,77.79650116,77.33679962,44834000
21-10-2020,78.66649628,80.93650055,78.58149719,79.66549683,79.19475555,51366000
22-10-2020,79.65249634,81.09950256,79.25,80.76650238,80.28925323,28672000
23-10-2020,81.30349731,82.11799622,81.02549744,82.05000305,81.56517029,27516000
26-10-2020,81.25050354,81.91200256,78.82499695,79.52249908,79.05259705,37066000
27-10-2020,79.78350067,80.34224701,79.13899994,80.21299744,79.7390213,24580000
28-10-2020,77.98699951,78.06749725,75.73100281,75.83100128,75.38291931,36680000
29-10-2020,76.11799622,79.6855011,76.11199951,78.36199951,77.89894867,40062000
30-10-2020,83.60549927,84.34999847,80.22299957,81.05049896,80.57157135,86582000
02-11-2020,81.40799713,83.03849792,80.80149841,81.30149841,80.8210907,50708000
03-11-2020,81.58899689,83.08499908,80.83100128,82.51049805,82.02293396,33234000
04-11-2020,85.51399994,88.56825256,85.30149841,87.45649719,86.93971252,71418000
05-11-2020,89.05000305,89.68199921,87.52549744,88.16850281,87.64751434,41316000
06-11-2020,87.69750214,88.62149811,87.01750183,88.08750153,87.56699371,33218000
09-11-2020,89.54499817,90.90299988,88.00099945,88.15000153,87.6291275,45366000
10-11-2020,86.55449677,88.15000153,85.86499786,87.01950073,86.50530243,52722000
11-11-2020,87.5,88.21099854,87.36824799,87.63549805,87.11765289,25280000
12-11-2020,87.38150024,88.41349792,87.27999878,87.49199677,86.9750061,24950000
13-11-2020,87.88150024,89.05200195,87.22750092,88.85099792,88.32597351,29998000
16-11-2020,88.58499908,89.95349884,88.3844986,89.06900024,88.54268646,24936000
17-11-2020,88.84700012,89.25,88.34999847,88.50749969,87.98451233,22942000
18-11-2020,88.2614975,88.67350006,87.30699921,87.33899689,86.82289886,23470000
19-11-2020,86.91899872,88.47949982,86.85025024,88.19599915,87.67485046,24998000
20-11-2020,88.26049805,88.69999695,87.09300232,87.10949707,86.59476471,46270000
23-11-2020,87.48000336,87.69499969,85.88600159,86.74299622,86.2304306,43232000
24-11-2020,86.52500153,88.58000183,86.3844986,88.44400024,87.92137909,31560000
25-11-2020,88.64450073,88.92700195,87.82700348,88.57150269,88.04811859,20916000
27-11-2020,88.65450287,90.19999695,88.62200165,89.65950012,89.12969971,17698000
30-11-2020,89.05919647,89.40325165,87.75,88.03700256,87.5167923,36476000
01-12-2020,88.71849823,91.24150085,88.46849823,89.90499878,89.37374878,34738000
02-12-2020,89.90499878,91.78250122,89.47364807,91.39749908,90.8574295,24440000
03-12-2020,91.20050049,92.36000061,91.13249969,91.33850098,90.79877472,24546000
04-12-2020,91.22599792,91.65799713,90.84950256,91.39949799,90.85941315,27564000
07-12-2020,90.94999695,91.61849976,90.28900146,90.97399902,90.43642426,26418000
08-12-2020,90.50499725,91.09500122,89.81024933,90.92749786,90.39020538,21926000
09-12-2020,90.60050201,91.71350098,88.39050293,89.20649719,88.67937469,30152000
10-12-2020,88.48999786,89.06549835,87.01599884,88.76650238,88.24197388,27256000
11-12-2020,88.15299988,89.22250366,88,89.08850098,88.56207275,24414000
14-12-2020,88.75,89.86949921,87.86074829,88.00299835,87.48298645,32004000
15-12-2020,88.22100067,88.57099915,87.49749756,88.3884964,87.86620331,29646000
16-12-2020,88.64399719,88.65000153,87.80400085,88.15000153,87.6291275,30270000
17-12-2020,88.42549896,88.58920288,86.93299866,87.39499664,86.87857819,32494000
